Word	uniqueID	Example image	Bigram	Percent_known	Rank (combining COCA/concreteness)	Concreteness (M)	COCA word freq (online)	COCA word freq	COCA (dispersion)	COCA (rank)	BNC freq	SUBTLEX freq	Dominant Part of Speech	Bottom-up Category (Human Raters)	Top-down Category (WordNet)	Top-down Category (manual selection)	All Bottom-up Categories	WordNet Synonyms	WordNet ID	Wordnet ID2	Wordnet ID3	Wordnet ID4	"Definition (from WordNet, Google, or Wikipedia)"	Number of word meanings in list
broccoli	broccoli	https://imgur.com/fQLG0Ot	0	1	5247.5	4.87	3375	2419	0.88	7992		116	Noun	vegetable	plant	"plant, food, vegetable"	vegetable	"broccoli, Brassica_oleracea_italica"	n11876803	broccoli%1:20:00::	broccoli#1	broccoli.n.01	plant with dense clusters of tight green flower buds	1
brooch	brooch	https://imgur.com/kkPo5Pu	0	1	14901.5	4.19	584	604	0.83	17382	203	67	Noun		decoration	clothing accessory	"jewelry, accessory"	"brooch, broach, breastpin"	n02906438	brooch%1:06:00::	brooch#1	brooch.n.01	a decorative pin worn by women	1
broom	broom	https://imgur.com/wRoBmPP	0	1	5777.5	4.89	2152	1786	0.86	9625	332	243	Noun			tool	cleaning tool	broom	n02906734	broom%1:06:00::	broom#1	broom.n.01	a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle	1
brownie	brownie	https://imgur.com/4l9Bu85	0	0.97	8554.5	4.82	945	846	0.9	14105	335	180	Noun	dessert		"food, dessert"	dessert	brownie	n07636271	brownie%1:13:00::	brownie#2	brownie.n.02	square or bar of very rich chocolate cake usually with nuts	1
brush	brush	https://imgur.com/dEIbVGu	0	1	6370.5	4.54	8903	8821	0.92	3442	1970	722	Verb			tool	"hair tool, grooming tool"	brush	n02908217	brush%1:06:00::	brush#2	brush.n.02	an implement that has hairs or bristles firmly set into a handle	1
brussels sprouts	brussels_sprouts	https://imgur.com/LWHdUd3	1	1	7685.5	5	627					0	#N/A	vegetable	vegetable	"food, vegetable"	vegetable	brussels_sprouts	n07715221	brussels_sprouts%1:13:00::	brussels_sprouts#1	brussels_sprouts.n.01	the small edible cabbage-like buds growing along a stalk of the brussels sprout plant	1
bubble	bubble	https://imgur.com/s1sZ6M4	0	1	6241	4.6	5856	6570	0.94	4136	552	408	Noun				soap	bubble	n09229709	bubble%1:17:00::	bubble#1	bubble.n.01	"a hollow globule of gas (e.g., air or carbon dioxide)"	1
bubble wrap	bubble_wrap	https://imgur.com/mqAHQYp	1	0.97	12768	4.97	123					0	#N/A				packing material	"bubble_wrap, bubble_pack, bubble_film"					plastic packaging material in sheets containing numerous small air cushions designed to protect fragile goods	1
bucket	bucket	https://imgur.com/R1jIIgx	0	1	2931.5	4.96	5429	5233	0.92	4858	999	511	Noun	container	container	container	container	"bucket, pail"	n02909870	bucket%1:06:00::	bucket#1	bucket.n.01	a roughly cylindrical vessel that is open at the top	1
buckle	buckle	https://imgur.com/5N4PJby	0	1	8638	4.71	1093	1210	0.87	11899	244	257	Verb			clothing accessory	"belt accessory, accessory"	buckle	n02910353	buckle%1:06:00::	buckle#1	buckle.n.01	fastener that fastens together two ends of a belt or strap; often has loose prong	1
buffet	buffet	https://imgur.com/0sBHtcT	0	0.96	7693.5	4.67	2506	2112	0.91	8484	574	226	Noun	food	food	food	food	buffet	n07576182	buffet%1:13:00::	buffet#2	buffet.n.02	a meal set out on a buffet at which guests help themselves	1
bug	bug	https://imgur.com/XUcuU3e	0	1	2229	5	4119	6541	0.92	4192	370	1068	Noun	insect	"animal, insect"	"animal, insect"	insect	bug	n02236355	bug%1:05:02::	bug#1	bug.n.01	general term for any insect or similar creeping or crawling invertebrate	1
buggy	buggy	https://imgur.com/wHPPSjA	0	1	13794.5	4.18	1084	876	0.9	13870	200	127	Noun	vehicle		vehicle	"vehicle, horse-drawn vehicle"	buggy					"a small motor vehicle, typically one with an open top"	1
bull	bull	https://imgur.com/mZHrVAc	0	1	3823.5	4.85	9528	6346	0.93	4240	1826	1403	Noun	animal	animal	animal	animal	bull	n02403325	bull%1:05:01::	bull#1	bull.n.01	uncastrated adult male of domestic cattle	1
bulldozer	bulldozer	https://imgur.com/3xxZVOi	0	1	6615	4.9	731	1216	0.92	11482		66	Noun		"container, vehicle"	vehicle	construction equipment	"bulldozer, dozer"	n02916179	bulldozer%1:06:00::	bulldozer#1	bulldozer.n.01	large powerful tractor; a large blade in front flattens areas of ground	1
bullet	bullet	https://imgur.com/L8nqyl5	0	1	3218.5	4.83	8594	11706	0.95	2756	717	1950	Noun		weapon	weapon	ammunition	"bullet, slug"	n02916350	bullet%1:06:00::	bullet#1	bullet.n.01	a projectile that is fired from a gun	1
bulletin board	bulletin_board	https://imgur.com/oo0MWuM	1	1	6761	4.93	1040					0	#N/A				information communication device	"bulletin_board, notice_board"	n02916538	bulletin_board%1:06:00::	bulletin_board#2	bulletin_board.n.02	a board that hangs on a wall; displays announcements	1
bulletproof vest	bulletproof_vest	https://imgur.com/W2aEsst	1	1	12786.5	4.9	163					0	#N/A		clothing	clothing	protective clothing	bulletproof_vest	n02916936	bulletproof_vest%1:06:00::	bulletproof_vest#1	bulletproof_vest.n.01	a vest capable of resisting the impact of a bullet	1
bumper	bumper	https://imgur.com/x4Cbgwo	0	1	5772.5	4.96	1214	1350	0.91	10884	303	181	Noun	part of car		part of car	part of car	bumper	n02918595	bumper%1:06:00::	bumper#2	bumper.n.02	a mechanical device consisting of bars at either end of a vehicle to absorb shock and prevent serious damage	1
bun	bun	https://imgur.com/6d3eDs8	0	1	5832	4.88	1665	1833	0.92	9152	258	147	Noun			food	"bread, sandwich bread"	bun					"a roll designed for holding other food, in particular meat"	1
bungee	bungee	https://imgur.com/QYdOhvo	0	1	15364.5	4.39	444	339	0.88	21731		36	Noun	"tool, sports equipment"			"tool, sports equipment"	"bungee, bungee_cord"	n02919890	bungee%1:06:00::	bungee#1	bungee.n.01	an elasticized rope	1
bunkbed	bunkbed	https://imgur.com/YsCM4Ok	0	1	12837	4.93	142					0	#N/A	furniture	furniture	furniture	"furniture, bedroom furniture"	"bunk_bed, bunk"	n02920259	bunk%1:06:02::	bunk#6	bunk.n.06	beds built one above the other	1
buoy	buoy	https://imgur.com/sjEKuoD	0	0.96	11194.5	4.57	670	798	0.9	14526	78	60	Noun				nautical device	buoy	n07266178	buoy%1:10:00::	buoy#1	buoy.n.01	bright-colored; a float attached by rope to the seabed to mark channels in a harbor or underwater hazards	1
burner	burner	https://imgur.com/B1SNtNx	0	1	6584.5	4.78	1878	2119	0.93	8369	142	93	Noun	kitchen appliance		kitchen appliance	"kitchen appliance, part of stove"	burner	n02923331	burner%1:06:01::	burner#2	burner.n.02	the heating elements of a stove or range on which pots and pans are placed for cooking	1
burrito	burrito	https://imgur.com/Vvlp68Q	0	0.97	7741	5	549	616	0.9	16570		84	Noun	food	food	food	food	burrito	n07880968	burrito%1:13:00::	burrito#1	burrito.n.01	a flour tortilla folded around a filling	1
bus	bus	https://imgur.com/Fo9o0vv	0	1	1701	4.9	27236	25937	0.95	1457	5465	3783	Noun	vehicle		vehicle	vehicle	"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger_vehicle"	n02924116	bus%1:06:00::	bus#1	bus.n.01	a vehicle carrying many passengers; used for public transport	1
bush	bush	https://imgur.com/OZlnGWG	0	1	3176	4.9	64886	6307	0.92	4294	3768	720	Noun	plant	plant	plant	plant	"shrub, bush"	n13112664	bush%1:20:00::	bush#1	bush.n.01	a low woody perennial plant usually having several major stems	1
butter	butter	https://imgur.com/Na4KcXb	0	1	2151.5	4.9	20420	14780	0.9	2418	2130	1042	Noun	food	food	food	"dairy product, food"	butter	n07848338	butter%1:13:00::	butter#1	butter.n.01	an edible emulsion of fat globules made by churning milk or cream; for cooking and table use	1
butterfly	butterfly	https://imgur.com/cfxY1xi	0	1	3258	4.93	4026	5031	0.94	4971		281	Noun	insect	"animal, insect"	"animal, insect"	insect	butterfly	n02274259	butterfly%1:05:00::	butterfly#1	butterfly.n.01	diurnal insect typically having a slender body with knobbed antennae and broad colorful wings	1
button	button1	https://imgur.com/xX4SxSj	0	1	1773	4.96	11095	12552	0.93	2661	1694	1441	Noun	clothing accessory		clothing accessory	"clothing accessory, clothing fastener"	button	n02928608	button%1:06:00::	button#1	button.n.01	a round fastener sewn to shirts and coats etc to fit through buttonholes	2
button	button2	https://imgur.com/JWFHmVp	0	1	1773	4.96	11095	12552	0.93	2661	1694	1441	Noun				activator	"push_button, push, button"	n04027023	button%1:06:01::	button#2	button.n.02	an electrical switch operated by pressing	2
cabbage	cabbage	https://imgur.com/5XzAqnU	0	1	6211	4.75	3526	2829	0.91	7088	367	148	Noun	vegetable	plant	"plant, food, vegetable"	vegetable	"cabbage, cultivated_cabbage, Brassica_oleracea"	n11875691	cabbage%1:20:00::	cabbage#3	cabbage.n.03	any of various cultivars of the genus Brassica oleracea grown for their edible leaves or flowers	1
cabinet	cabinet	https://imgur.com/ikZyB17	0	1	2549	4.89	12117	11846	0.96	2709		425	Noun		furniture	"furniture, container"	"storage, kitchen furniture"	cabinet	n02933112	cabinet%1:06:00::	cabinet#1	cabinet.n.01	a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display	1
cable	cable	https://imgur.com/1xkYkIX	0	1	3706	4.74	19330	18277	0.93	2013	1907	1108	Noun				electrical equipment	"cable, line, transmission_line"	n02934168	cable%1:06:02::	cable#2	cable.n.02	a conductor for transmitting electrical or optical signals or electric power	1
cactus	cactus	https://imgur.com/nEszJCT	0	1	4772	5	1927	1746	0.9	9515	84	148	Noun	plant	plant	plant	"plant, desert plant"	cactus	n11842204	cactus%1:20:00::	cactus#1	cactus.n.01	any succulent plant of the family Cactaceae native chiefly to arid regions of the New World and usually having spines	1
cage	cage	https://imgur.com/S7qLVb9	0	1	2212.5	5	6757	6621	0.92	4176	1021	1034	Noun	container		container	"pet supply, container"	"cage, coop"	n02936714	cage%1:06:00::	cage#1	cage.n.01	an enclosure made or wire or metal bars in which birds or animals can be kept	1
cake	cake	https://imgur.com/CiqvriZ	0	1	3284	4.81	14384	13336	0.92	2556	2807	2298	Noun	dessert		"food, dessert"	dessert	cake	n07628870	cake%1:13:00::	cake#3	cake.n.03	"baked goods made from or based on a mixture of flour, sugar, eggs, and fat"	1
cake mix	cake_mix	https://imgur.com/5pS8TIt	1	1	12514	4.89	190					0	#N/A		food	"food, dessert"	baking supply	cake_mix	n07594066	cake_mix%1:13:00::	cake_mix#1	cake_mix.n.01	a commercial mix for making a cake	1
calamari	calamari	https://imgur.com/1FBcluU	0	1	12967.5	4.79	327	235	0.84	25734		31	Noun	food		food	"seafood, food"	"squid, calamari, calamary"	n07781801	calamari%1:13:00::	calamari#1	calamari.n.01	(Italian cuisine) squid prepared as food	1
calculator	calculator	https://imgur.com/MksPtYT	0	1	7256	4.86	1130	1151	0.92	11833		66	Noun				"computing device, school supply"	"calculator, calculating_machine"	n02938886	calculator%1:06:00::	calculator#2	calculator.n.02	a small machine that is used for mathematical calculations	1
calf	calf1	https://imgur.com/JvnNuFY	0	0.96	8024	4.48	2951	4044	0.93	5698	648	151	Noun	animal	animal	animal	"baby animal, animal"	calf	n01887896	calf%1:05:00::	calf#1	calf.n.01	young of domestic cattle	2
calf	calf2	https://imgur.com/gznH3Vs	0	0.96	8024	4.48	2951	4044	0.93	5698	648	151	Noun	body part	body part	body part	body part	"calf, sura"	n05574332	calf%1:08:00::	calf#2	calf.n.02	the muscular back part of the shank	2
calzone	calzone	https://imgur.com/Uh7Wyao	0	0.96	16687.5	4.78	39	44	0.81	44703		5	Noun	food		food	food	"calzone, calzone_pizza"					a type of pizza that is folded in half before cooking to contain a filling	1
camcorder	camcorder	https://imgur.com/W94cQg9	0	1	6315	5	747	984	0.87	13303		32	Noun			electronic device	video equipment	camcorder	n02942349	camcorder%1:06:00::	camcorder#1	camcorder.n.01	a portable television camera and videocassette recorder	1
camel	camel	https://imgur.com/e08hUH6	0	1	4233.5	4.93	2366	2880	0.9	7059	419	256	Noun	animal	animal	animal	"animal, desert animal"	camel	n02437136	camel%1:05:00::	camel#1	camel.n.01	cud-chewing mammal used as a draft or saddle animal in desert regions	1
camera lens	camera_lens	https://imgur.com/XI9XQWA	1	1	10997	4.97	236					0	#N/A				"photography equipment, photography"	"camera_lens, optical_lens"	n02943241	camera_lens%1:06:00::	camera_lens#1	camera_lens.n.01	a lens that focuses the image in a camera	1
camera	camera1	https://imgur.com/2kadr9G	0	1	538.5	5	43939	41218	0.95	950		2907	Noun	electronic device			"recording device, electronic device"	"camera, photographic_camera"	n02942699	camera%1:06:00::	camera#1	camera.n.01	equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)	2
camera	camera2	https://imgur.com/KmzUlhA	0	1	538.5	5	43939	41218	0.95	950		2907	Noun			electronic device	"camera accessory, photography equipment"	"television_camera, tv_camera, camera"	n04404997	camera%1:06:01::	camera#2	camera.n.02	television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam	2
camper	camper	https://imgur.com/oYuF91t	0	1	8492	4.63	948	1755	0.92	9379	45	73	Noun	vehicle	"container, vehicle"	vehicle	"recreational vehicle, vehicle"	"camper, camping_bus, motor_home"	n02946348	camper%1:06:00::	camper#2	camper.n.02	a recreational vehicle equipped for camping out while traveling	1
can	can	https://imgur.com/gnuy0L2	0	1	6039	4.55	8231	10718	0.94	2967	236321	267620	Verb	container	container	container	"drink container, container"	"can, tin, tin_can"	n02946921	can%1:06:00::	can#1	can.n.01	airtight sealed metal container for food or drink or paint etc.	1
can opener	can_opener	https://imgur.com/KZgHukj	1	1	11969	4.93	196					0	#N/A	kitchen tool	tool	"kitchen tool, tool"	kitchen tool	"can_opener, tin_opener"	n02951585	can_opener%1:06:00::	can_opener#1	can_opener.n.01	a device for cutting cans open	1
candelabra	candelabra	https://imgur.com/cLqoBKv	0	0.9	11995.5	4.88	279	236	0.88	25247		6	Noun	home decor		home decor	home decor	"candelabrum, candelabra"	n02947818	candelabra%1:06:00::	candelabra#1	candelabra.n.01	branched candlestick; ornamental; has several lights	1
candle	candle	https://imgur.com/uiYXnjQ	0	1	3478.5	4.86	4158	7204	0.91	3958	802	409	Noun	home decor		home decor	"home decor, lighting"	"candle, taper, wax_light"	n02948072	candle%1:06:00::	candle#1	candle.n.01	stick of wax with a wick in the middle	1
candlestick	candlestick	https://imgur.com/ulsGvwD	0	1	9124	4.93	578	481	0.89	18612		25	Noun	home decor		home decor	home decor	"candlestick, candle_holder"	n02948557	candlestick%1:06:00::	candlestick#1	candlestick.n.01	a holder with sockets for candles	1
candy	candy	https://imgur.com/IAGsWEC	0	1	3588	4.83	10497	8633	0.93	3469	368	1825	Noun	food	food	food	"sweets, food"	"candy, confect"	n07597365	candy%1:13:00::	candy#1	candy.n.01	a rich sweet made of flavored sugar and often combined with fruit or nuts	1
candy bar	candy_bar	https://imgur.com/j4hUuDz	1	1	9138	4.96	444					0	#N/A		food	food	"junk food, snack"	candy_bar	n07598256	candy_bar%1:13:00::	candy_bar#1	candy_bar.n.01	a candy shaped as a bar	1
candy cane	candy_cane	https://imgur.com/SeIK3fX	1	1	12827.5	4.97	120					0	#N/A		food	food	"christmas candy, candy"	candy_cane	n07601572	candy_cane%1:13:00::	candy_cane#1	candy_cane.n.01	a hard candy in the shape of a rod (usually with stripes)	1
cane	cane	https://imgur.com/L7AEPJn	0	1	4085.5	4.87	4959	4481	0.93	5358	473	425	Noun	medical equipment		medical equipment	medical equipment	cane	n02949202	cane%1:06:01::	cane#1	cane.n.01	a stick that people can lean on to help them walk	1
canister	canister	https://imgur.com/3hHAkuq	0	1	6230	4.93	918	1259	0.9	11417		73	Noun	container	container	container	"kitchen storage, container"	"canister, cannister, tin"	n02949542	canister%1:06:00::	canister#2	canister.n.02	metal container for storing dry foods such as tea or flour	1
cannon	cannon	https://imgur.com/kx8MQOC	0	1	6557.5	4.79	3768	2030	0.93	8585	659	444	Noun	weapon		weapon	weapon	cannon	n02950256	cannon%1:06:00::	cannon#1	cannon.n.01	a large artillery gun that is usually on wheels	1
cannonball	cannonball	https://imgur.com/IUqEp1Z	0	1	12274.5	4.8	329	282	0.89	23313		73	Noun	weapon	weapon	weapon	"ammunition, weapon"	"cannonball, cannon_ball, round_shot"	n02950943	cannonball%1:06:00::	cannonball#1	cannonball.n.01	a solid projectile that in former times was fired from a cannon	1
canoe	canoe	https://imgur.com/PlsUSqI	0	1	4874.5	4.86	2920	3101	0.91	6707	400	182	Noun		vehicle	vehicle	"boat, watercraft"	canoe	n02951358	canoe%1:06:00::	canoe#1	canoe.n.01	small and light boat; pointed at both ends; propelled with a paddle	1
cantaloupe	cantaloupe	https://imgur.com/yfJIXco	0	0.96	10981.5	4.76	580	479	0.91	18480		38	Noun	fruit	fruit	"food, fruit"	fruit	"cantaloup, cantaloupe"	n07755929	cantaloup%1:13:00::	cantaloup#2	cantaloup.n.02	the fruit of a cantaloup vine; small to medium-sized melon with yellowish flesh	1
canvas	canvas	https://imgur.com/v2sVFi6	0	1	4265	4.78	8542	7795	0.91	3760	1139	216	Noun				art supply	"canvas, canvass"	n02954068	canvas%1:06:04::	canvas#2	canvas.n.02	an oil painting on canvas fabric	1
cap	cap	https://imgur.com/IHry7kB	0	0.96	5361.5	4.59	14869	14672	0.95	2320	2119	956	Noun				bottle top	cap	n02954938	cap%1:06:02::	cap#2	cap.n.02	a top (as for a bottle)	1
cape	cape	https://imgur.com/gHaw963	0	1	7299	4.77	7798	1628	0.9	9869	993	420	Name	clothing	clothing	clothing	clothing	"cape, mantle"	n02955767	cape%1:06:00::	cape#2	cape.n.02	a sleeveless garment like a cloak but shorter	1
car	car	https://imgur.com/5asitdT	0	1	1274	4.89	128950	133571	0.94	289	27873	24636	Noun	vehicle	"container, vehicle"	vehicle	vehicle	"car, auto, automobile, machine, motorcar"	n02958343	car%1:06:00::	car#1	car.n.01	a motor vehicle with four wheels; usually propelled by an internal combustion engine	1
car door	car_door	https://imgur.com/Kq8XTiG	1	1	9227	4.69	1066					0	#N/A	part of car		part of car	part of car	car_door	n02963821	car_door%1:06:00::	car_door#1	car_door.n.01	the door of a car	1
car seat	car_seat	https://imgur.com/0qZbYRk	1	1	7878	4.93	709					0	#N/A	part of car		part of car	part of car	car_seat	n02970685	car_seat%1:06:00::	car_seat#1	car_seat.n.01	a seat in a car	1
caramel	caramel	https://imgur.com/cplZBbD	0	1	9732.5	4.73	1286	769	0.89	14900		63	Noun		food	"food, dessert"	candy	caramel	n07601809	caramel%1:13:00::	caramel#1	caramel.n.01	firm chewy candy made from caramelized sugar and butter and milk	1
card	card	https://imgur.com/NlH9oXG	0	1	1410	4.9	34723	43605	0.96	893	5739	4357	Noun				game	card	n02962545	card%1:06:00::	card#1	card.n.01	one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes	1
cardboard	cardboard	https://imgur.com/5SYY2Fs	0	1	6378	4.9	1658	1323	0.93	10931	743	138	Adjective				paper product	"cardboard, composition_board"	n14799601	cardboard%1:27:00::	cardboard#1	cardboard.n.01	a stiff moderately thick paper	1
cardigan	cardigan	https://imgur.com/vDaSALy	0	1	8135	4.96	863	610	0.88	16776		29	Noun	clothing	clothing	clothing	clothing	cardigan	n02963159	cardigan%1:06:00::	cardigan#1	cardigan.n.01	knitted jacket that is fastened up the front with buttons or a zipper	1
cardinal	cardinal	https://imgur.com/OtaNGT2	0	1	8228	4.74	4457	1270				208	Noun	bird	"animal, bird"	"animal, bird"	bird	"cardinal, cardinal_grosbeak, Richmondena_Cardinalis, Cardinalis_cardinalis, redbird"	n01541386	cardinal%1:05:00::	cardinal#4	cardinal.n.04	crested thick-billed North American finch having bright red plumage in the male	1
carousel	carousel	https://imgur.com/0OOj5a9	0	1	8990.5	4.93	1006	501	0.91	18070		73	Noun				amusement park ride	"carousel, carrousel, merry-go-round, roundabout, whirligig"	n02966193	carousel%1:06:00::	carousel#2	carousel.n.02	"a large, rotating machine with seats for children to ride or amusement"	1
carriage	carriage	https://imgur.com/UV1Mat1	0	0.97	4833.5	4.86	3786	3197	0.9	6628	1983	381	Noun	vehicle	"container, vehicle"	vehicle	"vehicle, horse-drawn vehicle"	"carriage, equipage, rig"	n02968473	carriage%1:06:00::	carriage#2	carriage.n.02	a vehicle with wheels drawn by one or more horses	1
carrot	carrot	https://imgur.com/rLOQhZT	0	1	2443.5	5	2923	5718	0.91	4641	383	195	Noun	vegetable	vegetable	"food, vegetable"	vegetable	carrot	n07730207	carrot%1:13:00::	carrot#3	carrot.n.03	orange root; important source of carotene	1
cart	cart	https://imgur.com/QtnQEdl	0	1	3230	4.89	6676	6822	0.92	4085	992	461	Noun	vehicle	"container, vehicle"	vehicle	vehicle	cart	n02970849	cart%1:06:00::	cart#1	cart.n.01	a heavy open wagon usually having two wheels and drawn by an animal	1
cash machine	cash_machine	https://imgur.com/RWTPYI6	1	1	16035.5	4.78	67					0	#N/A			electronic device	banking device	"cash_machine, cash_dispenser, automated_teller_machine, automatic_teller_machine, automated_teller, automatic_teller, ATM"	n02977058	cash_machine%1:06:00::	cash_machine#1	cash_machine.n.01	an unattended machine (outside some banks) that dispenses money when a personal coded card is used	1
cash register	cash_register	https://imgur.com/D0BBnsY	1	1	6617.5	4.97	941					0	#N/A		container		business equipment	"cash_register, register"	n02977438	cash_register%1:06:00::	cash_register#1	cash_register.n.01	a cashbox with an adding machine to register transactions; used in shops to add up the bill	1
cashew	cashew	https://imgur.com/zLzaTy0	0	1	9943.5	4.92	212	392	0.83	21027	28	11	Noun		fruit	food	nut	"cashew, cashew_nut"	n07772147	cashew%1:13:00::	cashew#2	cashew.n.02	kidney-shaped nut edible only when roasted	1
casserole	casserole	https://imgur.com/V4Kg3Ok	0	1	6492.5	4.87	1538	1448	0.89	10600		85	Noun	food	food	food	food	casserole	n07580359	casserole%1:13:00::	casserole#1	casserole.n.01	food cooked and served in a casserole	1
cassette	cassette	https://imgur.com/bgvNwk8	0	1	8337.5	4.6	1708	2110	0.93	8362	761	93	Noun		container		audio recording equipment	cassette	n02978881	cassette%1:06:00::	cassette#1	cassette.n.01	a container that holds a magnetic tape used for recording or playing sound or video	1
cat	cat	https://imgur.com/W1E0exY	0	1	2343.5	4.86	20378	21135	0.92	1785	3952	3383	Noun	animal	animal	animal	"animal, pet"	"cat, true_cat"	n02121620	cat%1:05:00::	cat#1	cat.n.01	feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats	1
catapult	catapult	https://imgur.com/MAjGZya	0	1	14494.5	4.43	443	405	0.91	19893		31	Noun	weapon		weapon	"weapon, medieval weaponry"	"catapult, arbalest, arbalist, ballista, bricole, mangonel, onager, trebuchet, trebucket"	n02981911	catapult%1:06:00::	catapult#3	catapult.n.03	an engine that provided medieval artillery used during sieges; a heavy war engine for hurling large stones and other missiles	1
caterpillar	caterpillar	https://imgur.com/ynmdL39	0	1	7768.5	4.87	1349	911	0.9	13595		57	Noun	insect	animal	"animal, insect"	insect	caterpillar	n02309337	caterpillar%1:05:00::	caterpillar#1	caterpillar.n.01	a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth	1
catfish	catfish	https://imgur.com/kIQe9ea	0	1	5982.5	4.85	2343	2021	0.9	8758	231	63	Noun		animal	"animal, food"	fish	"catfish, siluriform_fish"	n02517442	catfish%1:05:01::	catfish#3	catfish.n.03	any of numerous mostly freshwater bottom-living fishes of Eurasia and North America with barbels like whiskers around the mouth	1
cauliflower	cauliflower	https://imgur.com/xpRSM17	0	1	8417.5	5	890	496	0.86	18708		28	Noun	vegetable	vegetable	"food, vegetable"	vegetable	cauliflower	n07715103	cauliflower%1:13:00::	cauliflower#2	cauliflower.n.02	compact head of white undeveloped flowers	1
caviar	caviar	https://imgur.com/9mXC7Cq	0	1	9949.5	4.7	1032	792	0.88	14721		195	Noun	food		food	food	"caviar, caviare"	n07799579	caviar%1:13:00::	caviar#1	caviar.n.01	salted roe of sturgeon or other large fish; usually served as an hors d'oeuvre	1
cd player	cd_player	https://imgur.com/Hcumxda	1	1	9117.5	4.86	618					0	#N/A	electronic device		electronic device	"electronic device, music player"	CD_player	n02988304	cd_player%1:06:00::	CD_player#1	CD_player.n.01	a stand-alone piece of electronic equipment that either has its own display or attaches to a television set	1
celery	celery	https://imgur.com/nqMXvHV	0	1	6175	4.8	3243	2246	0.89	8318		95	Noun	vegetable	vegetable	"food, vegetable"	vegetable	celery	n07730406	celery%1:13:00::	celery#2	celery.n.02	stalks eaten raw or cooked or used as seasoning	1
cello	cello	https://imgur.com/HVpv0P0	0	0.97	6605.5	4.96	1111	1007	0.84	13388	192	95	Noun	musical instrument	musical instrument	musical instrument	"musical instrument, string instrument"	"cello, violoncello"	n02992211	cello%1:06:00::	cello#1	cello.n.01	a large stringed instrument; seated player holds it upright while playing	1
cellphone	cellphone	https://imgur.com/C37WOca	0	0.96	4971	5	2000	1613	0.79	10700		157	#N/A	electronic device		electronic device	"communication device, electronic device"	"cellular_telephone, cellular_phone, cellphone, cell, mobile_phone"	n02992529	cellphone%1:06:00::	cellphone#1	cellphone.n.01	"a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver"	1
cement mixer	cement_mixer	https://imgur.com/4VR6H5F	1	0.97	14159.5	5	53					0	#N/A				construction equipment	"concrete_mixer, cement_mixer"	n03087069	cement_mixer%1:06:00::	cement_mixer#1	cement_mixer.n.01	a machine with a large revolving drum in which cement is mixed with other materials to make concrete	1
centerpiece	centerpiece	https://imgur.com/4BqAluV	0	1	8260.5	4.62	2425	2028	0.94	8513		32	Noun	home decor	decoration	home decor	"home decor, table decoration"	"centerpiece, centrepiece"	n02994419	centerpiece%1:06:00::	centerpiece#2	centerpiece.n.02	something placed at the center of something else (as on a table)	1
centrifuge	centrifuge	https://imgur.com/SgwjgzD	0	0.9	14771.5	4.38	359	415	0.85	20284		5	Noun			electronic device	"laboratory equipment, scientific equipment"	"centrifuge, extractor, separator"	n02995998	centrifuge%1:06:00::	centrifuge#1	centrifuge.n.01	an apparatus that uses centrifugal force to separate particles from a suspension	1
cereal	cereal	https://imgur.com/0aotQbE	0	1	4976.5	4.83	3629	3550	0.92	6204	477	324	Noun	food		food	"breakfast food, food"	cereal	n07702796	cereal%1:13:00::	cereal#3	cereal.n.03	a breakfast food prepared from grain	1
chain	chain	https://imgur.com/ORyzkbE	0	1	5458	4.55	19058	19688	0.96	1815	3733	1082	Noun	tool		tool	"tool, tethering device"	chain	n02999410	chain%1:06:00::	chain#3	chain.n.03	a series of (usually metal) rings or links fitted into one another to make a flexible ligament	1
chainsaw	chainsaw	https://imgur.com/Zh7OIr0	0	1	9695	4.9	471	441	0.89	19429		55	Noun	tool	tool	"electronic device, weapon, tool"	"power tool, tool"	"chain_saw, chainsaw"	n03000684	chainsaw%1:06:00::	chainsaw#1	chainsaw.n.01	portable power saw; teeth linked to form an endless chain	1
chair	chair	https://imgur.com/Y5WqRBt	0	1	4713	4.58	42649	43256	0.91	947	7997	2511	Noun	furniture	furniture	furniture	furniture	chair	n03001627	chair%1:06:00::	chair#1	chair.n.01	"a seat for one person, with a support for the back"	1
chalice	chalice	https://imgur.com/b7XoSia	0	1	11506	4.83	373	327	0.88	22044	107	32	Noun		container		cup	"chalice, goblet"	n03002948	chalice%1:06:00::	chalice#1	chalice.n.01	a bowl-shaped drinking vessel; especially the Eucharistic cup	1
chalk	chalk	https://imgur.com/TWu8DDq	0	1	5628.5	4.9	2241	1773	0.92	9287	932	183	Noun				"writing tool, school supply"	chalk	n03003091	chalk%1:06:00::	chalk#4	chalk.n.04	"a piece of calcite or a similar substance, usually in the shape of a crayon, that is used to write or draw on blackboards or other flat surfaces"	1
